#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1716	668963	ENTREZ_GENE	Btbd35f20	Gm10921	10090	Mus musculus	1.15e-10	0.000619	-3.7749	-	-	YES	BioGRID ORCS
1716	267019	ENTREZ_GENE	Rps15a	A630031B11Rik	10090	Mus musculus	1.2e-09	0.000619	-2.7517	-	-	YES	BioGRID ORCS
1716	26441	ENTREZ_GENE	Psma4	C9	10090	Mus musculus	1.58e-09	0.000619	-4.5251	-	-	YES	BioGRID ORCS
1716	11674	ENTREZ_GENE	Aldoa	Aldo-1|Aldo1	10090	Mus musculus	2.1e-09	0.000619	-2.8313	-	-	YES	BioGRID ORCS
1716	69237	ENTREZ_GENE	Gtpbp4	2610028C09Rik|Crfg|Gtpbp3|NGB|Nog1	10090	Mus musculus	7.48e-09	0.000619	-3.4494	-	-	YES	BioGRID ORCS
1716	73836	ENTREZ_GENE	Slc35b2	1110003M08Rik|AA407792|AI842275|PAPST1|Slc35b1	10090	Mus musculus	1.8e-08	0.000619	-2.7392	-	-	YES	BioGRID ORCS
1716	13629	ENTREZ_GENE	Eef2	Ef-2	10090	Mus musculus	5.35e-08	0.000619	-2.7121	-	-	YES	BioGRID ORCS
1716	19981	ENTREZ_GENE	Rpl37a	-	10090	Mus musculus	1.08e-07	0.001142	-3.7401	-	-	YES	BioGRID ORCS
1716	234138	ENTREZ_GENE	Tti2	-	10090	Mus musculus	1.24e-07	0.001142	-4.3352	-	-	YES	BioGRID ORCS
1716	22146	ENTREZ_GENE	Tuba1c	M[a]6|Tuba6	10090	Mus musculus	1.25e-07	0.000619	-4.195	-	-	YES	BioGRID ORCS
1716	100043813	ENTREZ_GENE	Rps27rt	Gm9846|Rps27l2	10090	Mus musculus	1.35e-07	0.001142	-2.5454	-	-	YES	BioGRID ORCS
1716	319185	ENTREZ_GENE	Hist1h2bl	H2b-291a	10090	Mus musculus	1.36e-07	0.001142	-2.7652	-	-	YES	BioGRID ORCS
1716	19989	ENTREZ_GENE	Rpl7	Rpl7a|Surf-3	10090	Mus musculus	1.37e-07	0.001142	-3.6621	-	-	YES	BioGRID ORCS
1716	269523	ENTREZ_GENE	Vcp	3110001E05|CDC48|p97|p97/VCP	10090	Mus musculus	1.62e-07	0.001547	-3.2252	-	-	YES	BioGRID ORCS
1716	19946	ENTREZ_GENE	Rpl30	-	10090	Mus musculus	2.06e-07	0.001547	-5.9927	-	-	YES	BioGRID ORCS
1716	66489	ENTREZ_GENE	Rpl35	2410039E09Rik	10090	Mus musculus	2.57e-07	0.001547	-2.5972	-	-	YES	BioGRID ORCS
1716	56095	ENTREZ_GENE	Ftsj3	AA537063|AU045295|C79843|D11Ertd400e|Epcs3	10090	Mus musculus	4.03e-07	0.002621	-4.1329	-	-	YES	BioGRID ORCS
1716	625249	ENTREZ_GENE	Gpx4	GPx-4|GSHPx-4|PHGPx|mtPHGPx|snGPx	10090	Mus musculus	4.68e-07	0.003387	-1.6208	-	-	YES	BioGRID ORCS
1716	14828	ENTREZ_GENE	Hspa5	AL022860|AU019543|Bip|D2Wsu141e|D2Wsu17e|Grp78|Hsce70|SEZ-7|Sez7|baffled|mBiP	10090	Mus musculus	5.23e-07	0.003387	-5.9873	-	-	YES	BioGRID ORCS
1716	67005	ENTREZ_GENE	Polr3k	12.3kDa|1500004O14Rik|AI196849|AU014893|C11|RPC10|RPC11	10090	Mus musculus	7.4e-07	0.003536	-3.5574	-	-	YES	BioGRID ORCS
1716	20084	ENTREZ_GENE	Rps18	H-2Ke3|H2-Ke3|Ke-3|ke3	10090	Mus musculus	7.54e-07	0.003536	-5.3817	-	-	YES	BioGRID ORCS
1716	20102	ENTREZ_GENE	Rps4x	Rps4|Rps4-1	10090	Mus musculus	1.05e-06	0.005851	-3.9764	-	-	YES	BioGRID ORCS
1716	77591	ENTREZ_GENE	Ddx10	4632415A01Rik|AI646054	10090	Mus musculus	1.4e-06	0.007103	-2.5601	-	-	YES	BioGRID ORCS
1716	626415	ENTREZ_GENE	4930467E23Rik	TSAP	10090	Mus musculus	1.56e-06	0.007723	-1.7772	-	-	YES	BioGRID ORCS
1716	16410	ENTREZ_GENE	Itgav	1110004F14Rik|2610028E01Rik|CD51|D430040G12Rik	10090	Mus musculus	1.57e-06	0.007723	-1.9564	-	-	YES	BioGRID ORCS
1716	69706	ENTREZ_GENE	Lrr1	2410005L11Rik|AU021780|LRR-1|Ppil5	10090	Mus musculus	1.75e-06	0.007853	-3.2255	-	-	YES	BioGRID ORCS
1716	67115	ENTREZ_GENE	Rpl14	3100001N19Rik|AA407502|AL022816|CAG-ISL-7|CTG-B33|L14	10090	Mus musculus	1.78e-06	0.007853	-3.1973	-	-	YES	BioGRID ORCS
1716	19933	ENTREZ_GENE	Rpl21	8430440E03Rik|L21	10090	Mus musculus	1.84e-06	0.007853	-6.2838	-	-	YES	BioGRID ORCS
1716	72007	ENTREZ_GENE	Fndc3b	1600019O04Rik|AW550168|Fad104|mKIAA4164	10090	Mus musculus	1.96e-06	0.008086	-2.4371	-	-	YES	BioGRID ORCS
1716	11461	ENTREZ_GENE	Actb	Actx|E430023M04Rik|beta-actin	10090	Mus musculus	2.46e-06	0.008464	-6.0654	-	-	YES	BioGRID ORCS
1716	269261	ENTREZ_GENE	Rpl12	E430018F03	10090	Mus musculus	2.75e-06	0.009127	-3.74	-	-	YES	BioGRID ORCS
1716	100499518	ENTREZ_GENE	Mir3470a	mmu-mir-3470a	10090	Mus musculus	2.94e-06	0.007853	-7.5814	-	-	YES	BioGRID ORCS
1716	12469	ENTREZ_GENE	Cct8	AI132397|Cctq|Tcpq	10090	Mus musculus	3.07e-06	0.009464	-3.9587	-	-	YES	BioGRID ORCS
