#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1678	11416	ENTREZ_GENE	Slc33a1	AI315656|AI788741|Acatn|D630022N01Rik	10090	Mus musculus	34.8	-1.14	1e-05	-	-	YES	BioGRID ORCS
1678	266781	ENTREZ_GENE	Snx17	5830447M19Rik|AI790646|D5Ertd260e|b2b1625.1Clo|mKIAA0064	10090	Mus musculus	29.4	1.18	2e-05	-	-	YES	BioGRID ORCS
1678	66743	ENTREZ_GENE	Rnf220	4732477A13|4931406I20Rik|5730503K05Rik|AV302541	10090	Mus musculus	29.0	-1.27	2e-05	-	-	YES	BioGRID ORCS
1678	67245	ENTREZ_GENE	Peli1	2810468L03Rik|A930031K15Rik|AA409794|AI586297|D11Ertd676e	10090	Mus musculus	27.8	-1.58	4e-05	-	-	YES	BioGRID ORCS
1678	69259	ENTREZ_GENE	Kctd5	2610030N08Rik|mKIAA0176	10090	Mus musculus	26.2	-1.22	4e-05	-	-	YES	BioGRID ORCS
1678	74257	ENTREZ_GENE	Tspan17	2210021G21Rik|AI047581|Fbxo23|Tm4sf17	10090	Mus musculus	22.9	-2.07	8e-05	-	-	YES	BioGRID ORCS
1678	109820	ENTREZ_GENE	Pgc	2210410L06Rik|Upg-1|Upg1	10090	Mus musculus	17.3	0.8	0.00051	-	-	YES	BioGRID ORCS
1678	104248	ENTREZ_GENE	Cabin1	A330070M20Rik|Cain|Ppp3in	10090	Mus musculus	15.5	-0.68	0.00056	-	-	YES	BioGRID ORCS
1678	69389	ENTREZ_GENE	H2bfm	1700014N06Rik|H2bfw|H2bl2	10090	Mus musculus	15.0	-1.05	0.00058	-	-	YES	BioGRID ORCS
1678	20446	ENTREZ_GENE	St6galnac2	II|ST6GalNAc|Siat7|Siat7b	10090	Mus musculus	14.2	-1.9	0.00062	-	-	YES	BioGRID ORCS
1678	211548	ENTREZ_GENE	Nomo1	D7Ertd156e|Nomo|pM5	10090	Mus musculus	13.9	-0.87	0.00065	-	-	YES	BioGRID ORCS
1678	14824	ENTREZ_GENE	Grn	Pgrn|epithelin	10090	Mus musculus	13.8	-0.84	0.00067	-	-	YES	BioGRID ORCS
1678	24105	ENTREZ_GENE	Rbck1	AL033326|HOIL-1|HOIL-1L|UIP28|Ubce7ip3	10090	Mus musculus	13.7	-0.96	0.00067	-	-	YES	BioGRID ORCS
1678	22608	ENTREZ_GENE	Ybx1	1700102N10Rik|C79409|EF1A|MSY1|Nsep1|YB-1|dbpB|mYB-1a	10090	Mus musculus	12.9	-0.76	0.00085	-	-	YES	BioGRID ORCS
1678	66177	ENTREZ_GENE	Ubl5	1110030M22Rik|beacon	10090	Mus musculus	12.6	-1.27	0.00093	-	-	YES	BioGRID ORCS
1678	140499	ENTREZ_GENE	Ube2j2	1200007B18Rik|2400008G19Rik|5730472G04Rik|AL022923|NCUBE-2|Ubc6|Ubc6p	10090	Mus musculus	12.4	-1.06	0.001	-	-	YES	BioGRID ORCS
1678	53380	ENTREZ_GENE	Psmd10	AW554874	10090	Mus musculus	11.6	0.91	0.00116	-	-	YES	BioGRID ORCS
1678	71772	ENTREZ_GENE	Plbd2	1300012G16Rik|AU019810|P76	10090	Mus musculus	11.4	0.66	0.00125	-	-	YES	BioGRID ORCS
1678	20429	ENTREZ_GENE	Shox2	6330543G17Rik|OG12|Og12x|Prx3|SHOT	10090	Mus musculus	11.3	-0.91	0.00131	-	-	YES	BioGRID ORCS
1678	20204	ENTREZ_GENE	Prrx2	Prx2|S8	10090	Mus musculus	11.0	0.82	0.00145	-	-	YES	BioGRID ORCS
1678	72514	ENTREZ_GENE	Fgfbp3	2610306H15Rik|Fgf-bp3	10090	Mus musculus	10.9	-0.88	0.0015	-	-	YES	BioGRID ORCS
