#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
599	19766	ENTREZ_GENE	Ripk1	D330015H01Rik|RIP|Rinp|Rip1	10090	Mus musculus	8.954121164	0.0	0.0	0.0	-	YES	BioGRID ORCS
599	16362	ENTREZ_GENE	Irf1	AU020929|Irf-1	10090	Mus musculus	8.141455017	0.0	0.0	0.0	-	YES	BioGRID ORCS
599	15040	ENTREZ_GENE	H2-T23	37b|37c|H-2T23|H2-Qa1|Qa-1|Qa-1(b)|Qa1|Qed-1|T18c|T18c(37)|T23b|T23d	10090	Mus musculus	7.750001181	4.67e-06	0.000707605	0.000163293	-	YES	BioGRID ORCS
599	56417	ENTREZ_GENE	Adar	AV242451|Adar1|Adar1p110|Adar1p150|mZaADAR	10090	Mus musculus	7.576138406	4.67e-06	0.000530704	0.000163293	-	YES	BioGRID ORCS
599	14827	ENTREZ_GENE	Pdia3	58kDa|ERp57|ERp60|ERp61|Erp|Grp58|PDI|PDI-Q2|PI-PLC|PLC[a]|Plca	10090	Mus musculus	7.562405703	4.67e-06	0.000424563	0.000163293	-	YES	BioGRID ORCS
599	12317	ENTREZ_GENE	Calr	CRT|Calregulin	10090	Mus musculus	7.54573131	4.67e-06	0.000353803	0.000163293	-	YES	BioGRID ORCS
599	21355	ENTREZ_GENE	Tap2	ABC18|AI462429|APT2|Abcb3|Ham-2|Ham2|MTP2|PSF2|RING11|Tap-2|Y1|jas	10090	Mus musculus	7.097188235	4.67e-06	0.000303259	0.000163293	-	YES	BioGRID ORCS
599	214572	ENTREZ_GENE	Prmt7	4933402B05Rik|BC006705	10090	Mus musculus	6.600051492	4.67e-06	0.000265352	0.000163293	-	YES	BioGRID ORCS
599	17872	ENTREZ_GENE	Ppp1r15a	9630030H21|Gadd34|Myd116	10090	Mus musculus	6.485972575	4.67e-06	0.000235868	0.000163293	-	YES	BioGRID ORCS
599	19255	ENTREZ_GENE	Ptpn2	AI325124|Ptpt|TC-PTP	10090	Mus musculus	6.452737418	4.67e-06	0.000212282	0.000163293	-	YES	BioGRID ORCS
599	228866	ENTREZ_GENE	Pcif1	2310022K11Rik|C20orf67|F730014I05Rik	10090	Mus musculus	6.435195492	4.67e-06	0.000192983	0.000163293	-	YES	BioGRID ORCS
599	56424	ENTREZ_GENE	Stub1	0610033N24Rik|2210017D18Rik|2310040B03Rik|AW046544|Chip	10090	Mus musculus	6.312728211	4.67e-06	0.000176901	0.000163293	-	YES	BioGRID ORCS
599	11797	ENTREZ_GENE	Birc2	AW146227|Api1|Api2|Birc3|C-IAP1|C330006D17Rik|HIAP1|HIAP2|IAP1|IAP2|MIAP1|MIAP2|MIHB|MIHC|RNF48|cIAP1|cIAP2|mcIAP1	10090	Mus musculus	6.260694356	4.67e-06	0.000163293	0.000163293	-	YES	BioGRID ORCS
599	56480	ENTREZ_GENE	Tbk1	1200008B05Rik|AI462036|AW048562	10090	Mus musculus	6.069135568	9.33e-06	0.000303259	0.000303259	-	YES	BioGRID ORCS
