#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1483	19981	ENTREZ_GENE	Rpl37a	-	10090	Mus musculus	1.13e-08	2.4e-07	-5.5702	-	-	YES	BioGRID ORCS
1483	108121	ENTREZ_GENE	U2af1	2010107D16Rik|35kDa	10090	Mus musculus	2.6e-08	2.4e-07	-6.1769	-	-	YES	BioGRID ORCS
1483	11966	ENTREZ_GENE	Atp6v1b2	AI194269|AI790362|Atp6b2|HO57|R74844	10090	Mus musculus	2.86e-08	2.4e-07	-7.0614	-	-	YES	BioGRID ORCS
1483	319171	ENTREZ_GENE	Hist1h2ap	Gm11276	10090	Mus musculus	2.95e-08	2.4e-07	-5.9693	-	-	YES	BioGRID ORCS
1483	217011	ENTREZ_GENE	Nle1	AL022765|BC018399|Nle|l11Jus1|l11Jus4	10090	Mus musculus	3.47e-08	2.4e-07	-3.2933	-	-	YES	BioGRID ORCS
1483	72308	ENTREZ_GENE	Brf1	2510002F24Rik|GTF3B|TAF3C|TAFIII90|TFIIIB90|mTFIIIB90	10090	Mus musculus	4.21e-08	2.4e-07	-5.7371	-	-	YES	BioGRID ORCS
1483	208092	ENTREZ_GENE	Chmp6	2400004G01Rik	10090	Mus musculus	4.36e-08	2.4e-07	-6.0861	-	-	YES	BioGRID ORCS
1483	18971	ENTREZ_GENE	Pold1	125kDa	10090	Mus musculus	5.53e-08	2.4e-07	-7.1608	-	-	YES	BioGRID ORCS
1483	67054	ENTREZ_GENE	Paics	2610511I09Rik|ADE2H1|AIRC|PAIS	10090	Mus musculus	5.55e-08	2.4e-07	-4.1811	-	-	YES	BioGRID ORCS
1483	72515	ENTREZ_GENE	Wdr43	2610318G08Rik|AU020887|AV024208|Wrd43|mKIAA0007	10090	Mus musculus	5.79e-08	2.4e-07	-7.4815	-	-	YES	BioGRID ORCS
1483	13627	ENTREZ_GENE	Eef1a1	-	10090	Mus musculus	6.79e-08	2.4e-07	-6.2513	-	-	YES	BioGRID ORCS
1483	68479	ENTREZ_GENE	Phf5a	1110007B08Rik	10090	Mus musculus	7.61e-08	2.4e-07	-7.4695	-	-	YES	BioGRID ORCS
1483	69878	ENTREZ_GENE	Snrpf	2010013O18Rik|SMF|sm-F|snRNP-F	10090	Mus musculus	8.25e-08	2.4e-07	-7.6255	-	-	YES	BioGRID ORCS
1483	76792	ENTREZ_GENE	2410131K14Rik	-	10090	Mus musculus	8.51e-08	2.4e-07	-4.3433	-	-	YES	BioGRID ORCS
1483	108124	ENTREZ_GENE	Napa	1500039N14Rik|AW209189|RA81|SNAPA|SNARE|a-SNAP|hyh	10090	Mus musculus	8.92e-08	2.4e-07	-6.6722	-	-	YES	BioGRID ORCS
1483	68275	ENTREZ_GENE	Rpa1	5031405K23Rik|70kDa|AA589576|AW557552|RF-A|RP-A|Rpa	10090	Mus musculus	8.92e-08	2.4e-07	-6.5721	-	-	YES	BioGRID ORCS
1483	114741	ENTREZ_GENE	Supt16	Cdc68|Fact140|Spt16|Supt16h	10090	Mus musculus	1.01e-07	2.4e-07	-5.2119	-	-	YES	BioGRID ORCS
1483	27756	ENTREZ_GENE	Lsm2	D17H6S56E-2|D17H6S56E2|Dmapl|Dmpkap|G7b|Sm-X5|SmX5|snRNP	10090	Mus musculus	1.26e-07	2.4e-07	-4.4847	-	-	YES	BioGRID ORCS
1483	26961	ENTREZ_GENE	Rpl8	-	10090	Mus musculus	1.36e-07	2.4e-07	-7.1283	-	-	YES	BioGRID ORCS
1483	16418	ENTREZ_GENE	Eif6	1110004P11|AA408895|CAB|Itgb4bp|eIF-6|imc-415|p27(BBP)|p27BBP	10090	Mus musculus	1.38e-07	2.4e-07	-3.7378	-	-	YES	BioGRID ORCS
1483	11933	ENTREZ_GENE	Atp1b3	AA409958|AI664000|AW212096	10090	Mus musculus	1.62e-07	2.4e-07	-4.6011	-	-	YES	BioGRID ORCS
1483	67629	ENTREZ_GENE	Spc24	2410030K01Rik|AV109292|Spbc24	10090	Mus musculus	1.66e-07	2.4e-07	-4.901	-	-	YES	BioGRID ORCS
1483	66481	ENTREZ_GENE	Rps21	1810049N11Rik|2410030A14Rik	10090	Mus musculus	1.68e-07	2.4e-07	-4.1972	-	-	YES	BioGRID ORCS
1483	20116	ENTREZ_GENE	Rps8	-	10090	Mus musculus	1.76e-07	2.4e-07	-7.5568	-	-	YES	BioGRID ORCS
1483	68011	ENTREZ_GENE	Snrpg	2810024K17Rik|AL022803|SMG|sm-G|snRNP-G	10090	Mus musculus	1.77e-07	2.4e-07	-6.1803	-	-	YES	BioGRID ORCS
1483	56488	ENTREZ_GENE	Nxt1	1110001N02Rik	10090	Mus musculus	2e-07	2.4e-07	-4.5533	-	-	YES	BioGRID ORCS
1483	110749	ENTREZ_GENE	Chaf1b	2600017H24Rik|C76145|CAF-I p60|CAF-Ip60|CAF1|CAF1A|CAF1P60|MPHOSPH7	10090	Mus musculus	2.21e-07	2.4e-07	-4.3674	-	-	YES	BioGRID ORCS
1483	110074	ENTREZ_GENE	Dut	5031412I06Rik|5133400F09Rik|D2Bwg0749e|Dutp|dUTPase	10090	Mus musculus	2.34e-07	2.4e-07	-7.0568	-	-	YES	BioGRID ORCS
1483	70495	ENTREZ_GENE	Atp6ap2	(P)RR|5730403E06Rik|APT6M8-9|ATP6M8-9|Atp6ip2|M8-9|PRR	10090	Mus musculus	2.39e-07	2.4e-07	-5.5037	-	-	YES	BioGRID ORCS
1483	68153	ENTREZ_GENE	Gtf2e2	34kDa|AI462509|C330006J08Rik	10090	Mus musculus	2.99e-07	2.4e-07	-3.3126	-	-	YES	BioGRID ORCS
1483	14828	ENTREZ_GENE	Hspa5	AL022860|AU019543|Bip|D2Wsu141e|D2Wsu17e|Grp78|Hsce70|SEZ-7|Sez7|baffled|mBiP	10090	Mus musculus	3.24e-07	2.4e-07	-7.0003	-	-	YES	BioGRID ORCS
1483	12649	ENTREZ_GENE	Chek1	C85740|Chk1|rad27	10090	Mus musculus	3.29e-07	2.4e-07	-5.8456	-	-	YES	BioGRID ORCS
1483	212377	ENTREZ_GENE	Mms22l	F730047E07Rik|Gm134	10090	Mus musculus	3.33e-07	2.4e-07	-3.7921	-	-	YES	BioGRID ORCS
1483	272551	ENTREZ_GENE	Gins2	2210013I18Rik|4833427B12Rik|AI323585|Pfs2	10090	Mus musculus	3.88e-07	2.4e-07	-5.4256	-	-	YES	BioGRID ORCS
1483	17218	ENTREZ_GENE	Mcm5	AA617332|AI324988|AL033333|Cdc46|Mcmd5|P1-CDC46	10090	Mus musculus	4.32e-07	2.4e-07	-3.4134	-	-	YES	BioGRID ORCS
1483	11837	ENTREZ_GENE	Rplp0	36B4|Arbp|L10E	10090	Mus musculus	4.52e-07	2.4e-07	-5.2701	-	-	YES	BioGRID ORCS
1483	20174	ENTREZ_GENE	Ruvbl2	mp47|p47	10090	Mus musculus	4.78e-07	2.4e-07	-4.4173	-	-	YES	BioGRID ORCS
1483	12034	ENTREZ_GENE	Phb2	AU044498|BAP|Bap37|Bcap37|REA	10090	Mus musculus	5.36e-07	2.4e-07	-3.3987	-	-	YES	BioGRID ORCS
1483	20133	ENTREZ_GENE	Rrm1	RnrM1	10090	Mus musculus	5.78e-07	2.4e-07	-7.1249	-	-	YES	BioGRID ORCS
1483	22247	ENTREZ_GENE	Umps	1700095D23Rik|AA408257|AL033308|BB164745	10090	Mus musculus	5.81e-07	2.4e-07	-3.3068	-	-	YES	BioGRID ORCS
1483	381438	ENTREZ_GENE	Gm5148	EG381438	10090	Mus musculus	5.82e-07	2.4e-07	-5.5152	-	-	YES	BioGRID ORCS
1483	66373	ENTREZ_GENE	Lsm5	2010208O10Rik|2310034K10Rik	10090	Mus musculus	5.89e-07	2.4e-07	-4.2339	-	-	YES	BioGRID ORCS
1483	66475	ENTREZ_GENE	Rps23	2410044J15Rik	10090	Mus musculus	6.04e-07	2.4e-07	-6.2031	-	-	YES	BioGRID ORCS
1483	65019	ENTREZ_GENE	Rpl23	2810009A01Rik	10090	Mus musculus	6.13e-07	2.4e-07	-7.3935	-	-	YES	BioGRID ORCS
1483	11964	ENTREZ_GENE	Atp6v1a	AI647066|Atp6a1|Atp6a2|Atp6v1a1|VA68|VPP2	10090	Mus musculus	6.49e-07	2.4e-07	-4.7053	-	-	YES	BioGRID ORCS
1483	98985	ENTREZ_GENE	Clp1	AI462438|Heab	10090	Mus musculus	6.62e-07	2.4e-07	-5.2213	-	-	YES	BioGRID ORCS
1483	20102	ENTREZ_GENE	Rps4x	Rps4|Rps4-1	10090	Mus musculus	6.67e-07	2.4e-07	-7.4678	-	-	YES	BioGRID ORCS
1483	226844	ENTREZ_GENE	Mfsd7b	9630055N22Rik|FLVCR|Flvcr1	10090	Mus musculus	6.69e-07	2.4e-07	-3.9749	-	-	YES	BioGRID ORCS
1483	12461	ENTREZ_GENE	Cct2	Cctb	10090	Mus musculus	6.87e-07	2.4e-07	-5.5838	-	-	YES	BioGRID ORCS
1483	319170	ENTREZ_GENE	Hist1h2an	-	10090	Mus musculus	7.27e-07	2.4e-07	-5.5515	-	-	YES	BioGRID ORCS
1483	59008	ENTREZ_GENE	Anapc5	2510006G12Rik|AA408751|AA536819|AA986414|APC5|Anpc5	10090	Mus musculus	7.38e-07	2.4e-07	-4.3911	-	-	YES	BioGRID ORCS
1483	30946	ENTREZ_GENE	Abt1	-	10090	Mus musculus	7.45e-07	2.4e-07	-3.2753	-	-	YES	BioGRID ORCS
1483	192170	ENTREZ_GENE	Eif4a3	2400003O03Rik|Ddx48|eIF4A-III|mKIAA0111	10090	Mus musculus	8.14e-07	2.4e-07	-6.5373	-	-	YES	BioGRID ORCS
1483	26446	ENTREZ_GENE	Psmb3	AL033320|C10-II	10090	Mus musculus	8.36e-07	2.4e-07	-6.1101	-	-	YES	BioGRID ORCS
1483	18194	ENTREZ_GENE	Nsdhl	AI747449|Bpa|H105E3|Str|XAP104	10090	Mus musculus	8.68e-07	2.4e-07	-4.7966	-	-	YES	BioGRID ORCS
