#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1481	52846	ENTREZ_GENE	Cnot11	2410015L18Rik|C40|D1Bwg0212e	10090	Mus musculus	2.18e-09	2.4e-07	-1.581	-	-	YES	BioGRID ORCS
1481	71458	ENTREZ_GENE	Bcor	2900008C10Rik|5830466J11Rik|8430401K06Rik|BcorR|D930024N20Rik|mKIAA1575	10090	Mus musculus	1.58e-08	2.4e-07	-1.1965	-	-	YES	BioGRID ORCS
1481	382073	ENTREZ_GENE	Ccdc84	D630044F24Rik|Gm1114	10090	Mus musculus	3.71e-08	2.4e-07	-3.0716	-	-	YES	BioGRID ORCS
1481	330817	ENTREZ_GENE	Dhps	Dhs	10090	Mus musculus	4.06e-08	2.4e-07	-1.8588	-	-	YES	BioGRID ORCS
1481	78893	ENTREZ_GENE	Cnot10	2600001P13Rik	10090	Mus musculus	1.41e-07	2.4e-07	-2.5985	-	-	YES	BioGRID ORCS
1481	11927	ENTREZ_GENE	Atox1	AI256639|Atx1	10090	Mus musculus	6.3e-07	2.4e-07	-1.5594	-	-	YES	BioGRID ORCS
1481	210529	ENTREZ_GENE	Mettl14	G430022H21Rik|mKIAA1627	10090	Mus musculus	6.89e-07	2.4e-07	-2.0592	-	-	YES	BioGRID ORCS
1481	11632	ENTREZ_GENE	Aip	AA408703|AW476050|Ara9|D19Bwg1412e|Fkbp16|Xap2	10090	Mus musculus	2.07e-06	1.2e-06	-1.7495	-	-	YES	BioGRID ORCS
1481	20869	ENTREZ_GENE	Stk11	AA408040|Lkb1|Par-4|R75140	10090	Mus musculus	4.99e-06	5.03e-06	-2.89	-	-	YES	BioGRID ORCS
1481	100088	ENTREZ_GENE	Rcc1	4931417M11Rik|AI326872|Chc1	10090	Mus musculus	6.54e-06	5.51e-06	-3.7853	-	-	YES	BioGRID ORCS
1481	212198	ENTREZ_GENE	Wdr25	B930090D16Rik	10090	Mus musculus	6.91e-06	5.51e-06	-1.6034	-	-	YES	BioGRID ORCS
1481	83703	ENTREZ_GENE	Dbr1	AW018415	10090	Mus musculus	1.01e-05	8.39e-06	-2.3532	-	-	YES	BioGRID ORCS
1481	114644	ENTREZ_GENE	Slc13a3	NaDC-3|NaDC3|SDCT2	10090	Mus musculus	1.08e-05	8.39e-06	-0.7305	-	-	YES	BioGRID ORCS
1481	21975	ENTREZ_GENE	Top3a	-	10090	Mus musculus	1.15e-05	8.87e-06	-3.1563	-	-	YES	BioGRID ORCS
1481	214764	ENTREZ_GENE	Edrf1	2700050L05Rik|AU022667|AW558805	10090	Mus musculus	1.53e-05	1.7e-05	-2.7252	-	-	YES	BioGRID ORCS
