#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1543	68275	ENTREZ_GENE	Rpa1	5031405K23Rik|70kDa|AA589576|AW557552|RF-A|RP-A|Rpa	10090	Mus musculus	4.9629e-06	0.000562	1.6926e-08	-	-	YES	BioGRID ORCS
1543	18968	ENTREZ_GENE	Pola1	AW321876|Pola	10090	Mus musculus	4.9629e-06	0.000562	5.6778e-08	-	-	YES	BioGRID ORCS
1543	18971	ENTREZ_GENE	Pold1	125kDa	10090	Mus musculus	4.9629e-06	0.000562	3.6322e-07	-	-	YES	BioGRID ORCS
1543	20643	ENTREZ_GENE	Snrpe	AL022645|C76690|SME	10090	Mus musculus	4.9629e-06	0.000562	5.2505e-07	-	-	YES	BioGRID ORCS
1543	20926	ENTREZ_GENE	Supt6	5131400N11Rik|AI132449|SPT6|Supt6h|mKIAA0162	10090	Mus musculus	4.9629e-06	0.000562	9.9919e-07	-	-	YES	BioGRID ORCS
1543	27050	ENTREZ_GENE	Rps3	D7Ertd795e|Rs_3	10090	Mus musculus	7.4443e-05	0.006671	5.6954e-06	-	-	YES	BioGRID ORCS
1543	18538	ENTREZ_GENE	Pcna	-	10090	Mus musculus	9.4295e-05	0.006671	8.3932e-06	-	-	YES	BioGRID ORCS
1543	19264	ENTREZ_GENE	Ptprc	B220|CD45R|Cd45|L-CA|Ly-5|Lyt-4|T200|loc	10090	Mus musculus	9.4295e-05	0.006671	8.6671e-06	-	-	YES	BioGRID ORCS
1543	13194	ENTREZ_GENE	Ddb1	127kDa|AA408517|p127-Ddb1	10090	Mus musculus	0.00014392	0.006698	1.1702e-05	-	-	YES	BioGRID ORCS
1543	20174	ENTREZ_GENE	Ruvbl2	mp47|p47	10090	Mus musculus	0.00014392	0.006698	1.2212e-05	-	-	YES	BioGRID ORCS
1543	22121	ENTREZ_GENE	Rpl13a	1810026N22Rik|Tstap198-7|tum-antigen	10090	Mus musculus	0.00014392	0.006698	1.2529e-05	-	-	YES	BioGRID ORCS
1543	77987	ENTREZ_GENE	Ascc3	ASC1p200|B630009I04Rik|BC023451|D430001L07Rik|D630041L21|Helic1|RNAH	10090	Mus musculus	0.00015385	0.006698	1.2853e-05	-	-	YES	BioGRID ORCS
1543	81601	ENTREZ_GENE	Kat5	AI839539|CPLA2|Htatip|Htatip1|PLIP|Tip55|Tip60	10090	Mus musculus	0.00015385	0.006698	1.2993e-05	-	-	YES	BioGRID ORCS
1543	22627	ENTREZ_GENE	Ywhae	AU019196	10090	Mus musculus	0.00018363	0.007303	1.4307e-05	-	-	YES	BioGRID ORCS
1543	72749	ENTREZ_GENE	Tonsl	2810439M11Rik|Nfkbil2	10090	Mus musculus	0.00019355	0.007303	1.5517e-05	-	-	YES	BioGRID ORCS
1543	19360	ENTREZ_GENE	Rad50	Mrell|Rad50l	10090	Mus musculus	0.00025311	0.008895	2.0741e-05	-	-	YES	BioGRID ORCS
1543	24061	ENTREZ_GENE	Smc1a	5830426I24Rik|SMC-1A|Sb1.8|Smc1|Smc1alpha|Smc1l1|Smcb|mKIAA0178	10090	Mus musculus	0.00027296	0.008895	2.5573e-05	-	-	YES	BioGRID ORCS
1543	21371	ENTREZ_GENE	Tbca	Tbca13	10090	Mus musculus	0.00028288	0.008895	2.7441e-05	-	-	YES	BioGRID ORCS
1543	272551	ENTREZ_GENE	Gins2	2210013I18Rik|4833427B12Rik|AI323585|Pfs2	10090	Mus musculus	0.00043177	0.0125	4.9516e-05	-	-	YES	BioGRID ORCS
1543	227867	ENTREZ_GENE	Epc2	5830499L14|D2Ertd694e	10090	Mus musculus	0.0004417	0.0125	5.4459e-05	-	-	YES	BioGRID ORCS
