#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
2194	15980	ENTREZ_GENE	Ifngr2	Ifgr2|Ifgt	10090	Mus musculus	8.21e-19	4.97e-06	0.000469	2.6453	-	YES	BioGRID ORCS
2194	16451	ENTREZ_GENE	Jak1	AA960307|BAP004|C130039L05Rik	10090	Mus musculus	2.26e-15	4.97e-06	0.000469	3.1491	-	YES	BioGRID ORCS
2194	16363	ENTREZ_GENE	Irf2	9830146E22Rik|AI646973|Irf-2	10090	Mus musculus	9.53e-10	4.97e-06	0.000469	1.1916	-	YES	BioGRID ORCS
2194	18016	ENTREZ_GENE	Nf2	merlin	10090	Mus musculus	3.8e-09	4.97e-06	0.000469	1.341	-	YES	BioGRID ORCS
2194	12010	ENTREZ_GENE	B2m	Ly-m11|beta2-m|beta2m	10090	Mus musculus	1.2e-06	4.97e-06	0.000469	1.9513	-	YES	BioGRID ORCS
2194	15007	ENTREZ_GENE	H2-Q10	H-2Q10|Q10|Qa10	10090	Mus musculus	1.12e-05	9.45e-05	0.007433	0.88162	-	YES	BioGRID ORCS
2194	74155	ENTREZ_GENE	Errfi1	1300002F13Rik|AI788755|Mig-6|Mig6|RALT	10090	Mus musculus	9.35e-05	0.00075097	0.050637	0.56844	-	YES	BioGRID ORCS
2194	73473	ENTREZ_GENE	Iws1	1700069O15Rik|3000008H23|AL117927|AW214353	10090	Mus musculus	0.00024838	0.0020341	0.120012	0.69272	-	NO	BioGRID ORCS
2194	12005	ENTREZ_GENE	Axin1	AI316800|Axin|Fu|Kb|Ki|fused|kinky|knobbly	10090	Mus musculus	0.0003452	0.0028895	0.151539	0.48341	-	NO	BioGRID ORCS
2194	12388	ENTREZ_GENE	Ctnnd1	AA409437|AU019353|Catns|Ctnnd|P120|mKIAA0384	10090	Mus musculus	0.00063762	0.0046998	0.221831	0.57238	-	NO	BioGRID ORCS
2194	12168	ENTREZ_GENE	Bmpr2	2610024H22Rik|AL117858|AW546137|BB189135|BMP-2|BMPR-2|BMPR-II|BMPRII|BRK-3|Gm20272	10090	Mus musculus	0.00091357	0.0065101	0.279343	0.45294	-	NO	BioGRID ORCS
2194	225020	ENTREZ_GENE	Fez2	9030616F16|D17Ertd315e	10090	Mus musculus	0.0014655	0.0087481	0.344092	0.3602	-	NO	BioGRID ORCS
2194	14963	ENTREZ_GENE	H2-Bl	H2-B1|H2-Bl-like	10090	Mus musculus	0.0016668	0.011076	0.380114	0.42281	-	NO	BioGRID ORCS
2194	12370	ENTREZ_GENE	Casp8	CASP-8|FLICE|MACH|Mch5	10090	Mus musculus	0.0016968	0.011275	0.380114	0.43918	-	NO	BioGRID ORCS
2194	14897	ENTREZ_GENE	Trip12	1110036I07Rik|6720416K24Rik|AA410158|Gtl6|TRIP-12	10090	Mus musculus	0.0020918	0.013393	0.3951	0.30381	-	NO	BioGRID ORCS
2194	545370	ENTREZ_GENE	Hmcn1	EG545370|FIBL-6|Gm201	10090	Mus musculus	0.0022482	0.013025	0.3951	0.33423	-	NO	BioGRID ORCS
2194	74213	ENTREZ_GENE	Rbm26	1700009P03Rik|AI447318|C230097K14Rik|C86225|MLZ-393|Pro1777|Se70-2	10090	Mus musculus	0.0027979	0.017282	0.458333	0.47548	-	NO	BioGRID ORCS
