#SCREEN_ID	IDENTIFIER_ID	IDENTIFIER_TYPE	OFFICIAL_SYMBOL	ALIASES	ORGANISM_ID	ORGANISM_OFFICIAL	SCORE.1	SCORE.2	SCORE.3	SCORE.4	SCORE.5	HIT	SOURCE
1440	74133	ENTREZ_GENE	Smg8	1200011M11Rik	10090	Mus musculus	5.37e-06	1.99e-05	0.93304	0.93299	-4.8361	YES	BioGRID ORCS
1440	76499	ENTREZ_GENE	Clasp2	1500004F14Rik|8030404L10Rik|C77448|CLASP2beta|mKIAA0627	10090	Mus musculus	1.63e-05	6.4e-05	0.99985	0.99985	-5.5722	YES	BioGRID ORCS
1440	70208	ENTREZ_GENE	Med23	130kDa|3000002A17Rik|Crsp3|ESTM7|Sur2|X83317|mKIAA1216	10090	Mus musculus	1.84e-05	7.07e-05	0.99998	0.99998	-4.0359	YES	BioGRID ORCS
1440	319880	ENTREZ_GENE	Tmcc3	AW488095|C630016B22Rik|C88213|Tmcc1	10090	Mus musculus	2.57e-05	0.00010143	0.09788	0.21214	-0.50121	YES	BioGRID ORCS
1440	244879	ENTREZ_GENE	Npat	6820401K01|AI427561|BB112559	10090	Mus musculus	6.91e-05	0.00027599	0.98972	0.98968	-4.6904	YES	BioGRID ORCS
1440	217371	ENTREZ_GENE	Rab40b	SEC4L|rar	10090	Mus musculus	7.71e-05	0.0003086	0.74632	0.76447	-0.012942	YES	BioGRID ORCS
1440	70625	ENTREZ_GENE	Med26	5730493L18Rik|AI414941|AW495270|Crsp7	10090	Mus musculus	8.89e-05	0.00034936	0.99991	0.99991	-3.9659	YES	BioGRID ORCS
1440	56354	ENTREZ_GENE	Dnajc7	2010003F24Rik|2010004G07Rik|CCRP|Ttc2|mDj11|mTpr2	10090	Mus musculus	9.81e-05	0.00039108	0.6159	0.68861	-4.0629	YES	BioGRID ORCS
1440	17346	ENTREZ_GENE	Mknk1	2410048M24Rik|Mnk1	10090	Mus musculus	0.00011358	0.00045055	0.69768	0.73343	-2.6748	YES	BioGRID ORCS
1440	68135	ENTREZ_GENE	Eif3h	1110008A16Rik|40kD|9430017H16Rik|EIF3-P40|EIF3-gamma|Eif3s3	10090	Mus musculus	0.00012496	0.00049371	0.99988	0.99988	-3.841	YES	BioGRID ORCS
1440	69297	ENTREZ_GENE	Lrrc46	1700006D24Rik	10090	Mus musculus	0.00012852	0.00051049	0.4204	0.56826	0.23557	YES	BioGRID ORCS
1440	73327	ENTREZ_GENE	Pradc1	1700040I03Rik|Pap21	10090	Mus musculus	0.00013238	0.00052584	0.86381	0.86361	-1.9174	YES	BioGRID ORCS
1440	57434	ENTREZ_GENE	Xrcc2	4921524O04Rik|8030409M04Rik|RAD51|RecA	10090	Mus musculus	0.00015033	0.00059537	0.99985	0.99985	-4.0098	YES	BioGRID ORCS
1440	14084	ENTREZ_GENE	Faf1	AA408698|Dffrx|Fam	10090	Mus musculus	0.00016265	0.00063901	0.99844	0.99842	-5.0687	YES	BioGRID ORCS
1440	26987	ENTREZ_GENE	Eif4e2	2700069E09Rik|AI036339|AV129531|D0H0S6743E|Eif4el3	10090	Mus musculus	0.00016872	0.00065388	0.97715	0.97726	-3.9726	YES	BioGRID ORCS
1440	279561	ENTREZ_GENE	Wnk3	Prkwnk3|Wnk3-ps	10090	Mus musculus	0.00019331	0.00073876	0.96232	0.96224	-1.6208	YES	BioGRID ORCS
1440	22310	ENTREZ_GENE	Vmn2r42	V2r4	10090	Mus musculus	0.00019525	0.00074979	0.9998	0.9998	-3.9192	YES	BioGRID ORCS
