OFFICIAL_SYMBOL	IDENTIFIER_ID	Gene_Type
Mbp	17196	PROTEIN_CODING
Pax3	18505	PROTEIN_CODING
Per2	18627	PROTEIN_CODING
Bmal1	11865	PROTEIN_CODING
Cxcr4	12767	PROTEIN_CODING
Csf1	12977	PROTEIN_CODING
Myod1	17927	PROTEIN_CODING
Ntrk2	18212	PROTEIN_CODING
Tnfrsf1b	21938	PROTEIN_CODING
Cd40	21939	PROTEIN_CODING
Tcrd	110066	PROTEIN_CODING
Oprm1	18390	PROTEIN_CODING
Slc2a4	20528	PROTEIN_CODING
Vdr	22337	PROTEIN_CODING
Adora2a	11540	PROTEIN_CODING
Drd2	13489	PROTEIN_CODING
Gcg	14526	PROTEIN_CODING
Grin1	14810	PROTEIN_CODING
a	50518	PROTEIN_CODING
Prkaa1	105787	PROTEIN_CODING
Pdcd1	18566	PROTEIN_CODING
Pdgfra	18595	PROTEIN_CODING
Ptprc	19264	PROTEIN_CODING
T	20997	PROTEIN_CODING
Agtr1a	11607	PROTEIN_CODING
Csf2	12981	PROTEIN_CODING
Emx1	13796	PROTEIN_CODING
Ptk2	14083	PROTEIN_CODING
Fgfr2	14183	PROTEIN_CODING
Mmp2	17390	PROTEIN_CODING
Ncam1	17967	PROTEIN_CODING
Prf1	18646	PROTEIN_CODING
Tyr	22173	PROTEIN_CODING
Runx1	12394	PROTEIN_CODING
Cd28	12487	PROTEIN_CODING
Cd36	12491	PROTEIN_CODING
Cebpb	12608	PROTEIN_CODING
Foxa2	15376	PROTEIN_CODING
Igf1r	16001	PROTEIN_CODING
Ager	11596	PROTEIN_CODING
Egr1	13653	PROTEIN_CODING
Tlr3	142980	PROTEIN_CODING
Hprt1	15452	PROTEIN_CODING
Il15	16168	PROTEIN_CODING
Insr	16337	PROTEIN_CODING
Cd8a	12525	PROTEIN_CODING
Chat	12647	PROTEIN_CODING
Eomes	13813	PROTEIN_CODING
Igf2	16002	PROTEIN_CODING
Tlr7	170743	PROTEIN_CODING
Kitl	17311	PROTEIN_CODING
Mif	17319	PROTEIN_CODING
Nefm	18040	PROTEIN_CODING
Col2a1	12824	PROTEIN_CODING
Fyn	14360	PROTEIN_CODING
Il13	16163	PROTEIN_CODING
Ins1	16333	PROTEIN_CODING
Mitf	17342	PROTEIN_CODING
Wt1	22431	PROTEIN_CODING
Yap1	22601	PROTEIN_CODING
Fgfr1	14182	PROTEIN_CODING
Gata4	14463	PROTEIN_CODING
Lgals3	16854	PROTEIN_CODING
Serpine1	18787	PROTEIN_CODING
Tbx21	57765	PROTEIN_CODING
Chrna7	11441	PROTEIN_CODING
Rhoa	11848	PROTEIN_CODING
Camk2a	12322	PROTEIN_CODING
Erbb2	13866	PROTEIN_CODING
Fcgr2b	14130	PROTEIN_CODING
Fn1	14268	PROTEIN_CODING
Slc6a4	15567	PROTEIN_CODING
Itgam	16409	PROTEIN_CODING
Jak2	16452	PROTEIN_CODING
Nf1	18015	PROTEIN_CODING
Pcna	18538	PROTEIN_CODING
Pik3r1	18708	PROTEIN_CODING
Dicer1	192119	PROTEIN_CODING
Src	20779	PROTEIN_CODING
Tgfbr2	21813	PROTEIN_CODING
Cd40lg	21947	PROTEIN_CODING
Wnt1	22408	PROTEIN_CODING
Mir155	387173	ncRNA
Rbfox3	52897	PROTEIN_CODING
Ticam1	106759	PROTEIN_CODING
Bcl2l11	12125	PROTEIN_CODING
Btk	12229	PROTEIN_CODING
Cdh2	12558	PROTEIN_CODING
Lgr5	14160	PROTEIN_CODING
Gata1	14460	PROTEIN_CODING
Pdx1	18609	PROTEIN_CODING
Ret	19713	PROTEIN_CODING
Sod2	20656	PROTEIN_CODING
Stat5a	20850	PROTEIN_CODING
Wnt3a	22416	PROTEIN_CODING
Cd274	60533	PROTEIN_CODING
H2az2	77605	PROTEIN_CODING
Dnmt1	13433	PROTEIN_CODING
Nkx2-5	18091	PROTEIN_CODING
Npc1	18145	PROTEIN_CODING
Pax2	18504	PROTEIN_CODING
Pax7	18509	PROTEIN_CODING
Plp1	18823	PROTEIN_CODING
Vim	22352	PROTEIN_CODING
Npy	109648	PROTEIN_CODING
Igh	111507	PROTEIN_CODING
Abca1	11303	PROTEIN_CODING
Aqp4	11829	PROTEIN_CODING
Calca	12310	PROTEIN_CODING
Cd1d1	12479	PROTEIN_CODING
Socs3	12702	PROTEIN_CODING
Kl	16591	PROTEIN_CODING
Pomc	18976	PROTEIN_CODING
Ucp1	22227	PROTEIN_CODING
Olig2	50913	PROTEIN_CODING
Aicda	11628	PROTEIN_CODING
Cacna1a	12286	PROTEIN_CODING
Cebpa	12606	PROTEIN_CODING
Clock	12753	PROTEIN_CODING
E2f1	13555	PROTEIN_CODING
Ezh2	14056	PROTEIN_CODING
Gnrh1	14714	PROTEIN_CODING
Gria1	14799	PROTEIN_CODING
Ikbkb	16150	PROTEIN_CODING
Ascl1	17172	PROTEIN_CODING
Mstn	17700	PROTEIN_CODING
Pgr	18667	PROTEIN_CODING
Prkca	18750	PROTEIN_CODING
Spi1	20375	PROTEIN_CODING
Rho	212541	PROTEIN_CODING
Nr1h3	22259	PROTEIN_CODING
Wnt5a	22418	PROTEIN_CODING
Foxo3	56484	PROTEIN_CODING
Calb2	12308	PROTEIN_CODING
Slc17a6	140919	PROTEIN_CODING
Fcer1g	14127	PROTEIN_CODING
Gad2	14417	PROTEIN_CODING
Il12a	16159	PROTEIN_CODING
Nfatc1	18018	PROTEIN_CODING
Otx2	18424	PROTEIN_CODING
Nr1h4	20186	PROTEIN_CODING
Scarb1	20778	PROTEIN_CODING
Trp63	22061	PROTEIN_CODING
Trpa1	277328	PROTEIN_CODING
Ctla4	12477	PROTEIN_CODING
Fgf10	14165	PROTEIN_CODING
Gata3	14462	PROTEIN_CODING
Gli3	14634	PROTEIN_CODING
Hes1	15205	PROTEIN_CODING
Ifnb1	15977	PROTEIN_CODING
Igh-J	16033	OTHER
Itgb2	16414	PROTEIN_CODING
Itgb3	16416	PROTEIN_CODING
Kcnj6	16522	PROTEIN_CODING
Msx1	17701	PROTEIN_CODING
Prkcd	18753	PROTEIN_CODING
Ptpn11	19247	PROTEIN_CODING
Ghrl	58991	PROTEIN_CODING
Trpv4	63873	PROTEIN_CODING
Atg5	11793	PROTEIN_CODING
Bcl2l1	12048	PROTEIN_CODING
Brca1	12189	PROTEIN_CODING
Ccr7	12775	PROTEIN_CODING
Fbn1	14118	PROTEIN_CODING
Grin2b	14812	PROTEIN_CODING
Il4ra	16190	PROTEIN_CODING
Il7	16196	PROTEIN_CODING
Smad1	17125	PROTEIN_CODING
Smad4	17128	PROTEIN_CODING
Mdm2	17246	PROTEIN_CODING
Pdgfrb	18596	PROTEIN_CODING
Rbpj	19664	PROTEIN_CODING
Selp	20344	PROTEIN_CODING
Sox10	20665	PROTEIN_CODING
Atg7	74244	PROTEIN_CODING
Prkaa2	108079	PROTEIN_CODING
Ccr5	12774	PROTEIN_CODING
Jag1	16449	PROTEIN_CODING
Lcn2	16819	PROTEIN_CODING
Lmna	16905	PROTEIN_CODING
Ppard	19015	PROTEIN_CODING
Smn1	20595	PROTEIN_CODING
Stk11	20869	PROTEIN_CODING
Nkx2-1	21869	PROTEIN_CODING
Tsc1	64930	PROTEIN_CODING
Nanog	71950	PROTEIN_CODING
Adrb2	11555	PROTEIN_CODING
Cdc42	12540	PROTEIN_CODING
Cnr2	12802	PROTEIN_CODING
Des	13346	PROTEIN_CODING
Ccn2	14219	PROTEIN_CODING
Gdnf	14573	PROTEIN_CODING
H19	14955	ncRNA
Ptpn6	15170	PROTEIN_CODING
H2ax	15270	PROTEIN_CODING
Lta	16992	PROTEIN_CODING
Smad2	17126	PROTEIN_CODING
Met	17295	PROTEIN_CODING
Ncf1	17969	PROTEIN_CODING
Prox1	19130	PROTEIN_CODING
Tnc	21923	PROTEIN_CODING
Fgf21	56636	PROTEIN_CODING
Sirt3	64384	PROTEIN_CODING
Sting1	72512	PROTEIN_CODING
Agt	11606	PROTEIN_CODING
Cd80	12519	PROTEIN_CODING
Cxcr2	12765	PROTEIN_CODING
Dnmt3a	13435	PROTEIN_CODING
Drd1	13488	PROTEIN_CODING
Egr2	13654	PROTEIN_CODING
Flt1	14254	PROTEIN_CODING
Grid2	14804	PROTEIN_CODING
Hbb	15127	OTHER
Hgf	15234	PROTEIN_CODING
Hras	15461	PROTEIN_CODING
Klf4	16600	PROTEIN_CODING
L1cam	16728	PROTEIN_CODING
Lif	16878	PROTEIN_CODING
Myf5	17877	PROTEIN_CODING
Myog	17928	PROTEIN_CODING
Rora	19883	PROTEIN_CODING
Nrg1	211323	PROTEIN_CODING
Tbr1	21375	PROTEIN_CODING
Nod2	257632	PROTEIN_CODING
Pycard	66824	PROTEIN_CODING
Adam17	11491	PROTEIN_CODING
Axin2	12006	PROTEIN_CODING
Ddit3	13198	PROTEIN_CODING
Edil3	13612	PROTEIN_CODING
En1	13798	PROTEIN_CODING
F2rl1	14063	PROTEIN_CODING
Ghr	14600	PROTEIN_CODING
Il1a	16175	PROTEIN_CODING
Irs1	16367	PROTEIN_CODING
Lef1	16842	PROTEIN_CODING
Mt1	17748	PROTEIN_CODING
Nrp1	18186	PROTEIN_CODING
Per1	18626	PROTEIN_CODING
Pkd1	18763	PROTEIN_CODING
Plat	18791	PROTEIN_CODING
Ptf1a	19213	PROTEIN_CODING
Xist	213742	ncRNA
Tjp1	21872	PROTEIN_CODING
Prkn	50873	PROTEIN_CODING
Il22	50929	PROTEIN_CODING
Ripk3	56532	PROTEIN_CODING
A1cf	69865	PROTEIN_CODING
Bmp7	12162	PROTEIN_CODING
Cdk5	12568	PROTEIN_CODING
Cxcr3	12766	PROTEIN_CODING
Col10a1	12813	PROTEIN_CODING
Crebbp	12914	PROTEIN_CODING
Crh	12918	PROTEIN_CODING
Edn1	13614	PROTEIN_CODING
Epas1	13819	PROTEIN_CODING
Hspa5	14828	PROTEIN_CODING
Hnf4a	15378	PROTEIN_CODING
Hspa1b	15511	PROTEIN_CODING
Ido1	15930	PROTEIN_CODING
Ihh	16147	PROTEIN_CODING
Il7r	16197	PROTEIN_CODING
Notch2	18129	PROTEIN_CODING
Ryr2	20191	PROTEIN_CODING
Tcra-J	21475	OTHER
Ucp2	22228	PROTEIN_CODING
Pik3cg	30955	PROTEIN_CODING
Mir21a	387140	ncRNA
Zbtb20	56490	PROTEIN_CODING
Bcl11b	58208	PROTEIN_CODING
Apoa1	11806	PROTEIN_CODING
Dll1	13388	PROTEIN_CODING
Hc	15139	PROTEIN_CODING
Htr1a	15550	PROTEIN_CODING
Lama2	16773	PROTEIN_CODING
Lrp1	16971	PROTEIN_CODING
Msx2	17702	PROTEIN_CODING
Neurod1	18012	PROTEIN_CODING
Abcb1a	18671	PROTEIN_CODING
Rara	19401	PROTEIN_CODING
Sparc	20692	PROTEIN_CODING
Thbs1	21825	PROTEIN_CODING
Vip	22353	PROTEIN_CODING
Bace1	23821	PROTEIN_CODING
Nr5a1	26423	PROTEIN_CODING
Nox4	50490	PROTEIN_CODING
Il23a	83430	PROTEIN_CODING
Braf	109880	PROTEIN_CODING
Adora1	11539	PROTEIN_CODING
Atoh1	11921	PROTEIN_CODING
Prdm1	12142	PROTEIN_CODING
Casp8	12370	PROTEIN_CODING
Socs1	12703	PROTEIN_CODING
Cyp19a1	13075	PROTEIN_CODING
Epor	13857	PROTEIN_CODING
Fgfr3	14184	PROTEIN_CODING
Gh	14599	PROTEIN_CODING
Nr4a1	15370	PROTEIN_CODING
Id2	15902	PROTEIN_CODING
Lyn	17096	PROTEIN_CODING
Smad5	17129	PROTEIN_CODING
Mmp13	17386	PROTEIN_CODING
Ngf	18049	PROTEIN_CODING
Pitx2	18741	PROTEIN_CODING
Prkaca	18747	PROTEIN_CODING
Rorc	19885	PROTEIN_CODING
Slc2a1	20525	PROTEIN_CODING
Srebf1	20787	PROTEIN_CODING
Syk	20963	PROTEIN_CODING
Sry	21674	PROTEIN_CODING
