CELL_TYPE
Acute Myeloid Leukemia Cell Line
Adrenal Gland Neuroblastoma
African green monkey kidney cell line
Anaplastic Large Cell Lymphoma Cell Line
Anaplastic Thyroid Cancer Cell Line
Askin Tumor
Astrocytoma Cell Line
B-cell non-Hodgkin lymphoma cell line
B-lymphoblastoid cell line
B-lymphoma cell line
Bladder Carcinoma
Bladder Transitional Cell Carcinoma Cell Line
Breast Adenocarcinoma Cell Line
Breast Cancer Cell Line
Burkitt Lymphoma Cell Line
Cancer Cell Line
Cecum Cancer Cell Line
Cervical Adenocarcinoma Cell Line
Cholangiocarcinoma Cell
Chondrosarcoma
Chronic Myelogenous Leukemia Cell Line
Chronic Myeloid Leukemia Cell Line
Colonic Adenocarcinoma Cell Line
Colonic Cancer Cell Line
Colonic Epithelium Cell Line
Colorectal Adenocarcinoma Cell Line
Colorectal Cancer Cell Line
Colorectal Cell Line
Diffuse Large B-cell Lymphoma Cell
Embryonic Cell Line
Embryonic Fibroblast Cell Line
Embryonic Kidney Cell Line
Embryonic Stem Cell Line
Endometrial Cancer Cell Line
Eosinophilic Leukemia Cell Line
Epstein-Barr Virus (EBV)+ Burkitt lymphoma cell line (EBV latency I state)
Epstein-Barr Virus (EBV)+ lymphoblastoid cell line (EBV latency III state)
Erythroleukemia Cell Line
Esophageal Cancer Cell Line
Esophageal Squamous Cell Carcinoma Cell Line
Ewing's Sarcoma Cell Line
Fibroblast Cell Line
Fibrosarcoma Cell Line
Gall Bladder Cancer Cell Line
Gastric Adenocarcinoma Cell Line
Gastric Cancer Cell Line
Gingival Cancer Cell Line
Glioblastoma Cell Line
Glioma Cell Line
Gliosarcoma
HIV-1 Latency Cell Line
HeLa
Head and Neck Squamous Cell Carcinoma Cell Line
Hepatitis B virus genome integrated cell line
Hepatoblastoma Cell Line
Hepatocellular Carcinoma
Hepatoma Cell Line
Huh-7 Cell
Hypopharyngeal Squamous Cell Carcinoma Cell Line
Immortal Cell Line
Immortal Mouse Liver-derived Cell Line
Kidney Cell Line
Large Cell Lung Cancer Cell Line
Lung Adenocarcinoma Cell Line
Lung Cancer Cell Line
Lung Squamous Cell Carcinoma Cell Line
Lymphoblastoid Cell Line
Lymphoma Cell Line
Lymphoma or Leukaemia Cell Line
MDA-MB-435 cell
Malignant Peripheral Nerve Sheath Tumor (MPNST) cancer cell
Mammary Epithelial Cell Line
Mammary Gland Tumor Cell Line
Medulloblastoma Cell Line
Melanoma Cell Line
Meningioma Cell Line
Microglial Cell Line
Monocytic Leukemia Cell Line
Mouse Embryonic Stem Cell
Mouse cell
Mouse kidney carcinoma cell
Multiple Myeloma Cell Line
NMC-G1 cell
Neural Stem Cell Line
Neuroblastoma Cell Line
Neuroepithelioma Cell Line
Non-Small Cell Lung Adenocarcinoma Cell Line
Non-Small Cell Lung Cancer Cell Line
OVCAR-8
Oral Squamous Cell Carcinoma Cell Line
Osteosarcoma Cell Line
Ovarian Cancer Cell Line
Ovary Adenocarcinoma Cell Line
Pancreatic Adenocarcinoma Cell Line
Pancreatic Cancer Cell Line
Pancreatic Cell Line
Pancreatic Ductal Adenocarcinoma Cell Line
Pre-B Acute Lymphoblastic Leukemia Cell Line
Pre-B-Lymphocyte Cell Line
Primary Effusion Lymphoma Cell Line
Prostate Cancer Cell Line
Regulatory T cell
Renal Cancer Cell Line
Renal Cell Carcinoma Cell Line
Retinal Pigment Epithelium Cell Line
Rhabdomyosarcoma Cell Line
Salivary Gland Cancer Cell
Squamous cell carcinoma cell line
T cell
T-lymphoblastic leukemia cell line
T-lymphoma cell line
Tongue Cancer Cell Line
Umbilical cord erythroid progenitor
Urinary Bladder Cancer Cell Line
Urinary Bladder Squamous Cell Carcinoma Cell Line
Uterine Adenocarcinoma Cell Line
Uterine Carcinosarcoma Cell Line
acute lymphoblastic leukemia cell line
bone marrow cell line
breast epithelium
cardiac muscle cell line
cervical squamous cell carcinoma
hiPSC-derived astrocyte
iPSC derived cell line
macrophage
microvascular endothelial cell line
myoblast cell line
nasopharyngeal carcinoma cell line
pancreatic islet
pro-B-lymphocyte
renal medulla cell line
small cell lung cancer
umbilical vein endothelial cell line
