OFFICIAL_SYMBOL,IDENTIFIER_ID,Gene_Type
PTK2,5747,PROTEIN_CODING
RHOA,387,PROTEIN_CODING
PRKN,5071,PROTEIN_CODING
FLT3,2322,PROTEIN_CODING
TARDBP,23435,PROTEIN_CODING
MKI67,4288,PROTEIN_CODING
PSEN1,5663,PROTEIN_CODING
FMR1,2332,PROTEIN_CODING
HLA-C,3107,PROTEIN_CODING
TNFRSF11B,4982,PROTEIN_CODING
UGT1A1,54658,PROTEIN_CODING
EP300,2033,PROTEIN_CODING
HGF,3082,PROTEIN_CODING
STAT1,6772,PROTEIN_CODING
WT1,7490,PROTEIN_CODING
CD14,929,PROTEIN_CODING
ABCA1,19,PROTEIN_CODING
NPM1,4869,PROTEIN_CODING
SCN5A,6331,PROTEIN_CODING
COL1A1,1277,PROTEIN_CODING
F8,2157,PROTEIN_CODING
NOS2,4843,PROTEIN_CODING
TCF7L2,6934,PROTEIN_CODING
VHL,7428,PROTEIN_CODING
FGF2,2247,PROTEIN_CODING
ACE2,59272,PROTEIN_CODING
TTR,7276,PROTEIN_CODING
RUNX1,861,PROTEIN_CODING
IFNL3,282617,PROTEIN_CODING
HSP90AA1,3320,PROTEIN_CODING
IL1A,3552,PROTEIN_CODING
KCNH2,3757,PROTEIN_CODING
MECP2,4204,PROTEIN_CODING
FN1,2335,PROTEIN_CODING
LPL,4023,PROTEIN_CODING
SERPINA1,5265,PROTEIN_CODING
DRD4,1815,PROTEIN_CODING
ERCC2,2068,PROTEIN_CODING
ALB,213,PROTEIN_CODING
HBA1,3039,PROTEIN_CODING
HTT,3064,PROTEIN_CODING
HTR2A,3356,PROTEIN_CODING
TLR9,54106,PROTEIN_CODING
ALDH2,217,PROTEIN_CODING
PGR,5241,PROTEIN_CODING
NAT2,10,PROTEIN_CODING
CETP,1071,PROTEIN_CODING
GJA1,2697,PROTEIN_CODING
IL2,3558,PROTEIN_CODING
MAPK8,5599,PROTEIN_CODING
PTPN11,5781,PROTEIN_CODING
CASP8,841,PROTEIN_CODING
CST3,1471,PROTEIN_CODING
FLT1,2321,PROTEIN_CODING
PRKCA,5578,PROTEIN_CODING
UBC,7316,PROTEIN_CODING
PPARGC1A,10891,PROTEIN_CODING
ABL1,25,PROTEIN_CODING
PCSK9,255738,PROTEIN_CODING
HDAC1,3065,PROTEIN_CODING
HRAS,3265,PROTEIN_CODING
HSPA5,3309,PROTEIN_CODING
MSH2,4436,PROTEIN_CODING
AURKA,6790,PROTEIN_CODING
FGF23,8074,PROTEIN_CODING
E2F1,1869,PROTEIN_CODING
EGF,1950,PROTEIN_CODING
ERCC1,2067,PROTEIN_CODING
MMP3,4314,PROTEIN_CODING
MPO,4353,PROTEIN_CODING
RETN,56729,PROTEIN_CODING
SLC2A1,6513,PROTEIN_CODING
F3,2152,PROTEIN_CODING
IGF2,3481,PROTEIN_CODING
CXCL10,3627,PROTEIN_CODING
LEPR,3953,PROTEIN_CODING
MAOA,4128,PROTEIN_CODING
MCL1,4170,PROTEIN_CODING
OPRM1,4988,PROTEIN_CODING
